"NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MINSK, BY","2019-07-01","0.25",,"32","14"
"MINSK, BY","2019-07-02","0.01",,"22","12"
"MINSK, BY","2019-07-03","0.00",,"16","9"
"MINSK, BY","2019-07-04","0.00",,"17","10"
"MINSK, BY","2019-07-05","0.00",,"14","9"
"MINSK, BY","2019-07-06","0.00",,"19","12"
"MINSK, BY","2019-07-07","0.00",,"19","11"
"MINSK, BY","2019-07-08","0.00",,"17","12"
"MINSK, BY","2019-07-09","0.00",,"16","11"
"MINSK, BY","2019-07-10","0.44",,"15","12"
"MINSK, BY","2019-07-11","0.29",,"18","12"
"MINSK, BY","2019-07-12","0.02",,"17","8"
"MINSK, BY","2019-07-13","0.00",,"18","12"
"MINSK, BY","2019-07-14","0.32",,"18","9"
"MINSK, BY","2019-07-15","0.75",,"20","11"
"MINSK, BY","2019-07-16","0.61",,"21","13"
"MINSK, BY","2019-07-17","0.00",,"17","12"
"MINSK, BY","2019-07-18","0.16",,"16","13"
"MINSK, BY","2019-07-19","0.14",,"22","12"
"MINSK, BY","2019-07-20","0.00",,"25","14"
"MINSK, BY","2019-07-21","0.00",,"27","16"
"MINSK, BY","2019-07-22","0.00",,"18","16"
"MINSK, BY","2019-07-23","0.00",,"19","15"
"MINSK, BY","2019-07-24","0.00",,"23","16"
"MINSK, BY","2019-07-25","0.00",,"21","15"
"MINSK, BY","2019-07-26","0.00",,"22","16"
"MINSK, BY","2019-07-27","0.00",,"20","16"
"MINSK, BY","2019-07-28","0.00",,"27","18"
"MINSK, BY","2019-07-29","0.00",,"26","16"
"MINSK, BY","2019-07-30","0.00",,"21","11"
"MINSK, BY","2019-07-31","0.00",,"16","13"
