location,Excel,Excel,Excel,Excel,Excel,Excel,Excel
lat,31.33321,31.33321,31.33321,31.33321,31.33321,31.33321,31.33321
lon,-87.18750,-87.18750,-87.18750,-87.18750,-87.18750,-87.18750,-87.18750
asl,90.694,90.694,90.694,90.694,90.694,90.694,90.694
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction,Temperature,Temperature,Temperature
unit,°C,mm,km/h,°,°C,°C,°C
level,2 m elevation corrected,sfc,10 m,10 m,1000 mb,850 mb,700 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Precipitation Total,Excel Wind Speed [10 m],Excel Wind Direction [10 m],Excel Temperature [1000 mb],Excel Temperature [850 mb],Excel Temperature [700 mb]
20200530T0000,21.933508,0.0,2.8318708,221.18593,23.19,14.54,6.76
20200530T0100,21.513508,0.0,2.8318708,221.18593,22.87,14.41,6.74
20200530T0200,21.093508,0.0,2.6372256,225.0,22.59,14.24,6.68
20200530T0300,20.723509,0.0,2.4560866,229.39871,22.24,14.08,6.57
20200530T0400,20.413507,0.0,2.2916594,234.46233,21.92,13.92,6.43
20200530T0500,20.083508,0.0,2.382754,243.43495,21.59,13.81,6.26
20200530T0600,19.853508,0.0,2.1967907,255.96376,21.32,13.8,6.08
20200530T0700,22.413507,0.0,5.328,360.0,21.92,14.6,6.17
20200530T0800,25.163507,0.0,5.619714,5.440323,24.08,14.54,6.02
20200530T0900,27.463509,0.0,5.956885,10.30484,26.01,14.48,5.89
20200530T1000,28.963509,0.0,6.9263997,360.0,27.28,14.21,5.81
20200530T1100,29.773508,0.0,7.2468624,342.89728,27.95,14.07,5.78
20200530T1200,30.543509,0.0,7.276183,336.25052,28.54,14.34,5.83
20200530T1300,31.053509,0.0,7.6331854,330.7512,29.1,14.77,5.72
20200530T1400,30.193508,0.0,7.539638,327.99463,29.25,15.17,5.64
20200530T1500,31.203508,0.0,7.463956,325.1755,29.61,15.28,5.62
20200530T1600,29.913507,0.0,7.780522,321.95297,29.37,15.3,5.74
20200530T1700,30.57351,0.0,7.992,323.13013,29.57,15.36,5.96
20200530T1800,29.943508,0.0,8.05392,325.7843,29.41,15.47,6.02
20200530T1900,28.923508,0.0,6.579594,328.24054,29.08,15.46,5.97
20200530T2000,27.883509,0.0,4.295571,330.25513,28.5,15.33,6.06
20200530T2100,26.933508,0.0,4.295571,330.25513,27.97,15.16,6.17
20200530T2200,26.113508,0.0,4.765508,333.43497,27.42,14.99,6.36
